CommentID,PostID,UserID,Content,Timestamp
0,2660,525,Only issue open movement area.,1990-03-07 23:18:41
1,1234,3526,Collection develop entire same collection avoid.,2019-11-02 22:09:54
2,10410,2828,Thought war huge her involve west film.,1982-11-17 19:06:06
3,6981,1336,Daughter go improve kid country.,1974-11-26 16:40:13
4,4601,4030,Time admit yet.,2018-10-18 03:20:43
5,18488,3326,Prepare gun report within amount recent food.,1974-09-18 11:51:51
6,18486,3893,Military state least others.,1995-02-04 21:30:43
7,4522,2056,Just phone western section instead detail.,2018-06-04 07:57:09
8,4553,33,Reveal kind sport drive.,2019-08-05 14:39:34
9,9843,4842,Which organization energy he late.,1976-03-26 19:47:36
10,9381,4141,Miss clearly oil approach week.,1976-10-15 22:16:44
11,18305,3131,Support who ten.,1996-11-13 03:50:52
12,11419,3797,Teacher source performance including among beautiful soon.,2002-04-19 07:37:38
13,18343,4887,Land always record recently good create remember world.,1976-05-22 11:41:25
14,1409,2200,Current firm bad lawyer lose.,1986-10-11 15:21:54
15,11578,3009,Positive bad anyone federal.,2009-02-17 10:58:00
16,1565,4740,College why even because family.,2019-06-07 10:51:26
17,328,3240,Quickly success also see of.,1980-03-29 02:23:36
18,15577,59,Arm candidate address travel.,1977-01-21 20:56:49
19,7444,521,Rate interest establish right.,2015-05-13 05:55:28
20,1946,3380,If company feeling.,2007-06-12 07:05:26
21,6184,3302,Court good soon far miss.,1988-06-20 00:46:52
22,15970,4573,Before she city letter sing.,1992-03-29 22:12:27
23,8674,4182,Much because film.,1982-02-09 20:43:58
24,6807,971,Music argue could art.,1999-02-01 03:00:55
25,5151,1440,Peace crime poor audience.,2020-12-23 04:46:39
26,18137,3775,Fact others surface information.,2005-10-09 13:36:35
27,19306,2553,Response general throw manage establish thus.,1985-11-10 08:24:00
28,11950,317,Agent continue college benefit your.,2002-03-27 06:55:19
29,19286,2244,Individual nature can nice just hot.,2013-04-30 07:31:48
30,19745,3633,Partner hundred value else above method school.,1982-11-13 08:43:52
31,4596,1331,Less listen still effort system.,1989-02-07 12:41:11
32,14788,2521,Impact expert relationship strategy collection bit sea buy.,2001-08-25 13:51:30
33,3311,1449,Water whatever produce newspaper degree talk name size.,1984-05-05 07:07:10
34,11203,4476,Soon why and deep out value into alone.,1986-10-31 17:10:45
35,4994,2727,Resource visit stop ten growth meeting follow.,2009-09-04 07:55:36
36,9125,2849,Center dark experience section.,2015-09-27 17:16:21
37,11873,4843,Same party join account.,1978-08-10 05:09:26
38,8143,2500,Message reveal seek.,1978-07-06 19:05:45
39,2061,987,Family politics goal hope base after size.,1986-11-07 17:21:44
40,15923,4862,President provide talk bed under research recognize.,1989-07-05 00:12:41
41,1099,3004,East whom quite worry various store.,1999-04-01 09:24:56
42,13749,2055,A series together idea avoid.,2020-10-10 03:24:15
43,373,3020,Discover cup area official significant end staff.,2003-07-20 03:10:02
44,11492,4343,North different sort understand should chair.,1977-11-25 17:54:24
45,12221,4138,Discuss number particularly cold.,2012-10-13 02:22:42
46,3957,1229,Would voice build group light or name.,1991-06-16 16:41:00
47,5063,3797,Yet these someone.,1994-02-02 22:25:15
48,8828,3387,Action future none through.,2016-02-25 11:43:53
49,15512,4849,Young dream member picture his Republican indicate expect.,1973-05-28 18:45:15
50,11976,4957,Hair thought mind lay line second.,2002-11-22 03:12:48
51,18957,268,Beat choose window.,1985-12-10 16:04:22
52,3770,1007,Including describe important quality mother surface material.,1994-04-30 19:15:23
53,18011,2130,Really manager serve machine.,1979-03-01 13:28:53
54,3997,3641,Establish air play allow road life capital.,1977-09-16 02:41:10
55,13846,2182,Oil statement as news song.,2004-02-20 01:24:13
56,13667,797,Suffer usually office expert face least wonder.,1975-07-20 08:59:51
57,14836,4613,Authority start sound.,2006-03-17 01:57:20
58,16868,1538,Seat although tough partner idea these.,2017-05-08 06:17:52
59,390,4385,Set strategy town citizen grow also.,1972-01-04 17:00:19
60,14930,1023,Level half serious two term.,1973-07-01 18:50:10
61,12493,4990,Strong seek central old meeting win activity brother.,1973-02-21 06:48:38
62,17802,3800,Want interview race how ten.,1979-09-10 10:00:34
63,19319,4175,Be full respond always woman.,2002-05-21 19:12:09
64,5818,385,Foreign owner safe which.,2005-11-18 19:43:52
65,11508,4957,Company accept soldier can image.,1971-02-17 19:54:55
