FollowerID,FollowingUserID,FollowedUserID
0,1328,1898
1,571,1775
2,4447,3781
3,4191,1790
4,580,3530
5,438,2083
6,4041,836
7,2390,3579
8,4299,442
9,4187,2672
10,3662,3016
11,2243,2189
12,1309,921
13,340,1235
14,1381,3543
15,1318,4347
16,1869,4293
17,279,1613
18,3644,4207
19,2726,726
20,4490,3558
21,2853,3126
22,3188,1592
23,984,1680
24,4874,2542
25,4476,4289
26,3285,4816
27,1226,4835
28,4313,4052
29,2624,3643
30,4638,3703
31,335,2937
32,3626,2432
33,4057,2695
34,4751,2370
35,1049,2311
36,3602,3961
37,404,4960
38,1505,3541
39,4581,1252
40,550,2715
41,624,1102
42,620,1673
43,331,4894
44,40,3965
45,3403,4121
46,1969,2144
47,3432,2278
48,880,2777
49,1509,4849
50,3052,2815
51,1257,4659
52,1616,2930
53,4327,4216
54,621,3652
55,2504,181
56,548,602
57,3556,4050
58,4759,2894
59,2921,3849
60,505,513
61,1920,2915
62,714,4103
63,1197,1450
64,2831,1055
65,438,694
66,1275,544
67,898,798
68,355,1884
69,1474,2148
70,842,353
71,1445,4519
72,4515,2605
73,295,1131
74,4599,2770
75,3789,4491
76,1939,355
77,3427,3705
78,3409,2423
79,1018,4255
80,4329,2479
81,350,4505
82,2117,1989
83,4999,3589
84,1474,1278
85,62,1795
86,148,3480
87,1594,411
88,3245,4445
89,1914,4022
90,4512,775
91,2838,2418
92,3089,82
93,3181,940
94,1827,1354
95,3264,4874
96,2372,3328
97,4871,1009
98,3705,2499
99,3213,3897
100,3280,3436
101,404,875
102,2659,4997
103,1794,102
104,965,2447
105,1443,4939
106,2788,2229
107,4830,2014
108,1145,4405
109,1785,4036
110,3063,4319
111,3566,3045
112,1686,3455
113,2256,3908
114,826,3354
115,4882,3234
116,2918,3442
117,3625,2613
118,4283,2980
119,2146,207
120,4094,2828
121,1269,2637
122,3163,1816
123,3986,4720
124,4968,4668
125,1526,1647
126,2994,388
127,127,2897
128,4806,1655
129,3304,3843
130,111,2900
131,996,4370
132,2453,4575
133,3069,4436
134,2038,3515
135,901,1516
136,10,742
137,4056,3617
138,838,864
139,1480,4020
140,3321,4654
141,1039,2576
142,4938,1983
143,2631,3481
144,350,1102
145,3279,2269
146,3008,4919
147,4417,4766
148,763,4679
149,4765,1829
150,4788,523
151,1426,203
152,2036,3982
153,3912,2789
154,3150,4018
155,2384,353
156,2998,3868
157,3840,4603
158,4936,408
159,2497,4533
160,3602,1191
161,4767,1707
162,2355,2953
163,997,481
164,491,1307
165,1229,4739
166,4994,4341
167,2091,772
168,4366,3734
169,4299,2016
170,1288,1326
171,2589,2992
172,2646,359
173,4440,2884
174,2834,1998
175,4315,1059
176,3343,3856
177,2653,3296
178,2969,4953
179,4591,1534
180,4123,4031
181,3883,3765
182,585,2640
183,492,4250
184,2392,160
185,2278,377
186,3253,3074
187,3380,2816
188,2411,4819
189,4883,1431
190,2173,2762
191,2076,4832
192,834,1032
193,4787,2409
194,4069,3252
195,1906,3354
196,2286,2901
197,3001,1423
198,1396,387
199,4650,443
200,1751,1672
201,4511,4218
202,577,1344
203,4404,51
204,4154,258
205,4546,4705
206,4414,1155
207,3547,2061
208,1075,2502
209,80,1430
210,2185,1041
211,2930,1197
212,4598,876
213,4587,2487
214,223,895
215,1396,2822
216,4390,1984
217,1472,2768
218,924,720
219,3724,4007
220,4572,4832
221,2844,2640
222,1642,4736
223,3700,570
224,4687,4180
225,4707,4591
226,2007,664
227,3827,4072
228,991,242
229,2904,744
230,1509,3678
231,2548,1700
232,1699,3927
233,4917,4123
234,233,4146
235,3455,4547
236,2480,4660
237,965,4703
238,3903,3198
239,717,3616
240,2562,4155
241,1876,4654
242,972,2746
243,164,3952
244,2125,3973
245,2357,2166
