MembershipID,GroupID,UserID
0,846,4978
1,353,568
2,127,4244
3,623,243
4,418,449
5,970,542
6,360,2434
7,107,1549
8,72,3478
9,702,1144
10,433,563
11,501,644
12,508,362
13,969,4041
14,599,4811
15,602,470
16,258,4321
17,970,484
18,137,2867
19,419,1485
20,309,850
21,770,4275
22,771,510
23,97,1120
24,69,2221
25,552,730
26,193,1021
27,303,3133
28,859,2232
29,704,4362
30,645,3187
31,458,2428
32,495,4344
33,443,4793
34,800,448
35,940,3742
36,561,3751
37,563,4677
38,717,4647
39,805,4802
40,531,1044
41,838,2206
42,98,157
43,40,2291
44,67,2108
45,125,88
46,489,643
47,211,3575
48,123,2859
49,114,3072
50,993,3925
51,741,2784
52,178,2277
53,595,4290
54,653,4920
55,226,4264
56,774,4028
57,590,528
58,289,4982
59,80,2995
60,739,2293
61,262,2204
62,886,335
63,94,1301
64,29,968
65,914,3005
66,419,1500
67,514,1701
68,4,3564
69,11,3901
70,492,3382
71,83,4294
72,465,4322
73,977,3723
74,858,956
75,555,561
76,391,1216
77,521,1305
78,821,2230
79,65,1031
80,188,2354
81,821,4490
82,929,4656
83,124,2703
84,45,756
85,856,2260
86,36,2734
87,530,2010
88,295,137
89,84,3140
90,624,4382
91,304,3196
92,960,1341
93,577,1696
94,183,1026
95,11,1781
96,295,1896
97,617,2529
98,164,2063
99,908,2541
100,519,1395
101,239,4490
102,964,1321
103,560,2729
104,847,2801
105,297,4106
106,370,4198
107,269,3421
108,115,391
109,865,2455
110,867,2107
111,519,2362
112,603,3529
113,839,2524
114,866,1730
115,987,3087
116,479,2667
117,407,1257
118,996,2865
119,979,2410
120,533,3598
121,426,1765
122,241,3427
123,241,2425
124,251,4825
125,59,4914
126,329,3246
127,93,189
128,791,1357
129,381,1956
130,623,2846
131,120,4160
132,786,996
133,106,2267
134,376,1922
135,997,2890
136,830,2288
137,796,4886
138,811,800
139,675,4128
140,622,2336
141,228,3060
142,654,1117
143,11,1556
144,874,3893
145,543,3548
146,473,4479
147,659,2915
148,613,404
149,957,2137
150,736,2323
151,789,899
152,134,1525
153,904,577
154,912,3243
155,859,3983
156,71,352
157,502,927
158,424,1773
159,57,2425
160,209,229
161,450,520
162,641,3409
163,69,226
164,39,858
165,43,3404
166,865,237
167,150,3013
168,764,4166
169,406,1467
170,47,2749
171,329,488
172,972,1115
173,494,1538
174,672,4373
175,437,3661
176,508,1178
177,521,3555
178,502,3405
179,273,4507
180,130,4992
181,432,3842
182,847,2639
183,140,922
184,745,230
185,405,2657
186,907,4306
187,865,3815
188,724,2845
189,690,2642
190,578,1204
191,782,1434
192,365,2842
193,104,3172
194,426,4492
195,430,529
196,754,481
197,525,4753
198,166,1386
199,881,1976
200,157,697
201,756,1754
202,212,4811
203,455,3834
204,979,718
205,59,524
206,687,1601
207,350,2202
208,68,844
209,276,1845
210,12,3583
211,478,4992
212,9,4655
213,13,4082
214,755,4561
215,994,1161
216,546,3866
217,627,4554
218,867,3475
219,373,1195
220,35,2992
221,64,3892
222,40,4772
223,420,3210
224,743,4988
225,468,2807
226,576,4531
227,601,251
228,476,2705
229,692,4295
230,600,2150
231,202,3573
232,215,4216
233,731,4516
234,792,4570
235,918,1061
236,113,4670
237,418,2271
238,159,2675
239,656,3837
240,119,1089
241,554,776
242,484,2578
243,331,3738
244,459,1962
245,564,3940
246,766,3873
247,174,2395
248,790,1799
249,227,1016
250,722,4393
251,383,1576
252,593,667
253,280,3818
254,489,2850
255,254,3332
256,865,1370
257,793,1524
258,37,3300
259,772,872
260,68,2033
261,208,3462
262,414,1898
263,917,2032
264,421,1077
265,929,3755
266,891,4909
267,222,4796
268,592,937
269,41,3926
270,82,2965
271,572,2975
272,539,756
273,728,3000
274,134,2835
275,58,3266
276,167,2600
277,628,1263
278,779,1539
279,362,1359
280,778,4594
281,337,1567
282,758,1786
283,798,2091
284,258,2955
285,356,572
286,76,1359
287,537,3324
288,760,3913
289,224,3615
290,809,1050
291,473,2932
292,571,1423
293,21,1521
294,405,591
295,889,1178
296,934,1016
297,202,3203
298,177,3950
299,661,4736
300,122,3567
301,105,269
302,172,3215
303,902,2991
304,534,2551
305,182,2063
306,777,698
307,383,4391
308,162,3205
309,72,4953
310,387,615
311,843,2779
312,844,3987
313,840,4687
314,339,2723
315,702,3312
316,584,4159
317,626,1370
318,702,167
319,91,2527
320,701,702
321,210,263
322,593,2694
323,343,21
324,757,3135
325,379,135
326,143,266
327,18,4822
328,541,3021
329,660,3648
330,145,4779
331,635,4215
332,884,4868
333,349,4092
334,540,3935
335,852,4054
336,380,2178
337,469,4463
338,994,1254
339,882,4134
340,171,3864
341,198,203
342,409,2784
343,40,3851
344,933,3372
345,111,2952
346,223,4869
347,11,4446
348,98,2686
349,261,2107
350,436,1135
351,363,2258
352,296,2830
353,354,4347
354,285,1227
355,153,608
356,430,811
357,464,152
358,527,2636
359,439,1038
360,362,1597
361,788,698
362,345,4027
363,189,2317
364,332,2559
365,555,530
366,913,1085
367,942,1487
368,152,462
369,706,2052
370,563,3638
371,556,4984
372,620,2394
373,197,468
374,610,722
375,742,2360
376,509,4507
377,655,4647
378,885,87
379,173,4761
380,968,3142
381,768,2946
382,577,4008
