LikeID,UserID,PostID,CommentID
0,1161,9640,
1,4100,,
2,396,,
3,3004,8670,15611
4,2352,4546,16865
5,4173,,
6,2092,6659,36610
7,4639,7285,16336
8,3196,19515,
9,1986,,17962
10,4326,,12434
11,2684,,
12,3072,4915,42585
13,2612,19742,
14,4986,,41685
15,3532,,
16,2422,,11944
17,2449,,
18,11,16514,
19,4367,,30468
20,3055,,
21,228,19777,
22,2429,,
23,2377,9485,18867
24,415,9808,40216
25,988,7958,
26,1985,15410,37944
27,1539,,4567
28,1564,6514,35172
29,4594,17361,
30,3444,,
31,1808,17841,2323
32,2886,,
33,1228,7382,16870
34,4893,18788,33875
35,2997,,38458
36,878,1202,
37,4429,12795,40563
38,816,,13033
39,3894,,41145
40,4154,10300,
41,1276,2624,
42,320,,9291
43,4225,3204,29970
44,1556,,
45,4169,11017,
46,3828,,26742
47,2877,3273,
48,4006,2392,
49,1829,10118,704
50,2783,19778,11141
51,112,6549,15786
52,3179,,32398
53,220,18682,
54,3013,11824,14655
55,1379,4711,31453
56,3800,,45786
57,1158,936,
58,1589,,
59,3898,,
60,1729,,
61,3687,13230,41831
62,2462,,
63,3983,8814,
64,1459,16343,
65,4830,,
66,2821,,
67,3934,8341,
68,3418,,49605
69,2586,,29096
70,4368,,
71,625,5429,30068
72,1902,11739,
73,1813,,
74,4546,,4253
75,4993,17807,9152
76,1118,2936,16037
77,4549,11131,159
78,1501,3579,
79,3131,3846,40391
80,903,,12809
81,3578,2384,1286
82,2317,8726,
83,2923,,
84,3816,13682,
85,483,,46852
86,903,,
87,483,8219,35381
88,3215,,
89,3267,,29131
90,524,2637,
91,4628,,15708
92,4387,322,
93,2082,,
94,1427,,27711
95,1710,8530,21180
96,219,,
97,4195,,10097
98,1300,14511,
99,4702,10212,39880
100,375,,
101,4171,,49809
102,432,,
103,2438,,24624
104,920,,45114
105,634,,
106,3251,9918,8633
107,4226,,40302
108,651,9439,20018
109,4697,7405,
110,1253,,35081
111,1726,19415,
112,2197,9549,
113,2266,,43659
114,2025,,30406
115,269,,1734
116,564,,
117,1456,,
118,2697,,
119,3531,,
120,1083,3742,16742
121,24,5627,
122,1656,17186,13196
123,1791,6328,
124,2987,,8665
125,1831,12119,
126,1913,5770,24543
127,238,7886,
128,1300,,
129,2922,,26097
130,1871,,10020
131,2488,11361,8565
132,2795,,46700
133,3579,,
134,2730,,25260
135,2676,,33259
136,1065,,
137,1621,,
138,2454,,36133
139,706,,26707
140,2456,,
141,2984,,
142,1035,,
143,661,,25276
144,1536,11426,44484
145,305,,33305
146,4266,1254,1432
147,4407,13148,39345
148,1210,,29443
149,716,,
150,1617,19691,
151,2678,19380,44297
152,622,14672,
153,3836,10289,39925
154,2405,16030,
155,2610,,17160
156,1562,3921,22014
157,432,13808,1503
158,2937,,40020
159,2500,9320,
160,3072,,43608
161,601,,
162,756,5910,41463
163,2669,13857,48140
164,252,19990,3992
165,4292,,503
166,684,692,
167,4785,,13871
168,1211,9392,
169,3648,15359,30071
170,482,,
171,4977,12258,29690
172,3277,15601,19183
173,4241,,
174,1904,,42825
175,3095,7975,11402
176,563,,29528
177,2101,14554,
178,3264,,
179,544,,
180,4070,,
181,1138,,
182,3973,16029,5248
183,3128,,
184,696,14889,
185,4698,,10362
186,1138,,
187,3675,,
188,3805,,
189,39,,
190,909,,28867
191,2576,6120,20892
192,3682,,
193,4576,,
194,1319,11806,
195,274,14060,28001
196,3815,3951,
197,4392,,
198,2833,6687,23908
199,635,18905,3122
200,1345,10033,
201,1281,,
202,68,,10365
203,881,,2685
204,4086,2559,10522
205,133,,36998
206,232,,23331
207,3083,,18672
208,967,,26587
209,1668,9527,
210,3104,11794,1091
211,1688,,
212,3953,,
213,164,,
214,349,,
215,1637,,
216,721,5596,
217,4174,,7112
218,2682,,47462
219,229,12542,
220,3094,9470,15463
221,4547,,
222,4481,11774,45959
223,4931,5258,3374
224,747,11182,31023
225,4679,1631,31929
226,3913,,14284
227,2879,13406,
228,861,,
229,2035,5653,5633
230,3606,18947,28141
231,3576,,37703
232,3196,,
233,2346,3777,
234,2019,3538,
235,1677,6561,38105
236,4342,,
237,2436,2671,38136
238,3816,,18755
239,2952,,
240,1160,17229,38058
241,3790,13743,24747
242,648,,
243,3592,,28770
244,2912,,
245,2627,,
246,2862,,40514
247,1971,11519,
